fold,held_patient,feature,importance,method
25,P31,PROGENy_MAPK,0.1983754131061329,shap_linear_training_background
25,P31,PROGENy_NFkB,0.23760478204654376,shap_linear_training_background
25,P31,PROGENy_PI3K,0.17318016052675678,shap_linear_training_background
25,P31,PROGENy_TGFb,0.11452668969305928,shap_linear_training_background
25,P31,PROGENy_TNFa,0.2217560378955126,shap_linear_training_background
25,P31,PROGENy_Trail,0.058016047759035905,shap_linear_training_background
25,P31,PROGENy_VEGF,0.06219831081151812,shap_linear_training_background
25,P31,PROGENy_WNT,0.09004002312345209,shap_linear_training_background
25,P31,PROGENy_p53,0.21241628911701835,shap_linear_training_background
26,P33,PROGENy_Androgen,0.09622953518406571,shap_linear_training_background
26,P33,PROGENy_EGFR,0.25777462282435726,shap_linear_training_background
26,P33,PROGENy_Estrogen,0.08517694644946634,shap_linear_training_background
26,P33,PROGENy_Hypoxia,0.07145448787230266,shap_linear_training_background
26,P33,PROGENy_JAK-STAT,0.3739073425000187,shap_linear_training_background
26,P33,PROGENy_MAPK,0.16506283681585196,shap_linear_training_background
26,P33,PROGENy_NFkB,0.19711433330512418,shap_linear_training_background
26,P33,PROGENy_PI3K,0.13336529156099608,shap_linear_training_background
26,P33,PROGENy_TGFb,0.11742251258904296,shap_linear_training_background
26,P33,PROGENy_TNFa,0.1730589817686866,shap_linear_training_background
26,P33,PROGENy_Trail,0.07592979273175546,shap_linear_training_background
26,P33,PROGENy_VEGF,0.06909396872334606,shap_linear_training_background
26,P33,PROGENy_WNT,0.09012166777862114,shap_linear_training_background
26,P33,PROGENy_p53,0.150031790121219,shap_linear_training_background
27,P35,PROGENy_Androgen,0.09557814408925697,shap_linear_training_background
27,P35,PROGENy_EGFR,0.26526725049376293,shap_linear_training_background
27,P35,PROGENy_Estrogen,0.10732516643898964,shap_linear_training_background
27,P35,PROGENy_Hypoxia,0.07475814435675184,shap_linear_training_background
27,P35,PROGENy_JAK-STAT,0.35541996435881246,shap_linear_training_background
27,P35,PROGENy_MAPK,0.2026593317315875,shap_linear_training_background
27,P35,PROGENy_NFkB,0.19057043681519736,shap_linear_training_background
27,P35,PROGENy_PI3K,0.13312923977010419,shap_linear_training_background
27,P35,PROGENy_TGFb,0.09149773555841395,shap_linear_training_background
27,P35,PROGENy_TNFa,0.20995986559430002,shap_linear_training_background
27,P35,PROGENy_Trail,0.07386052165232204,shap_linear_training_background
27,P35,PROGENy_VEGF,0.0581013376918091,shap_linear_training_background
27,P35,PROGENy_WNT,0.08393191587953137,shap_linear_training_background
27,P35,PROGENy_p53,0.14317600959203705,shap_linear_training_background
28,P4,PROGENy_Androgen,0.09776296579094979,shap_linear_training_background
28,P4,PROGENy_EGFR,0.24125407310048336,shap_linear_training_background
28,P4,PROGENy_Estrogen,0.10767212229272727,shap_linear_training_background
28,P4,PROGENy_Hypoxia,0.07049100913990182,shap_linear_training_background
28,P4,PROGENy_JAK-STAT,0.543091590086424,shap_linear_training_background
28,P4,PROGENy_MAPK,0.19363189837245012,shap_linear_training_background
28,P4,PROGENy_NFkB,0.2231911580500435,shap_linear_training_background
28,P4,PROGENy_PI3K,0.16922550804572076,shap_linear_training_background
28,P4,PROGENy_TGFb,0.10290554964236412,shap_linear_training_background
28,P4,PROGENy_TNFa,0.20389131066278066,shap_linear_training_background
28,P4,PROGENy_Trail,0.07490526916420914,shap_linear_training_background
28,P4,PROGENy_VEGF,0.05477920128839792,shap_linear_training_background
28,P4,PROGENy_WNT,0.09792386317414518,shap_linear_training_background
28,P4,PROGENy_p53,0.18419656421734495,shap_linear_training_background
29,P5,PROGENy_Androgen,0.0789089649277871,shap_linear_training_background
29,P5,PROGENy_EGFR,0.15727194356790977,shap_linear_training_background
29,P5,PROGENy_Estrogen,0.08331723014033068,shap_linear_training_background
29,P5,PROGENy_Hypoxia,0.06317728158379858,shap_linear_training_background
