feature,overall_mean_importance,overall_std_importance,conditional_mean_importance,n_folds_selected,selection_frequency,overall_sem_importance,cv_importance_all_folds,feature_type
CCC_Receiver_HLA-G_to_LILRB2,0.00046472405183367154,0.0003081179295508051,0.00046472405183367154,32,1.0,5.4468069347633295e-05,0.6630126595235553,Cell-to-cell communication
CCC_Receiver_TNFSF14_to_LTBR,0.0004556865021334238,0.0002836042461176585,0.0004556865021334238,32,1.0,5.0134621400773724e-05,0.6223670106309621,Cell-to-cell communication
CCC_Sender_CXCL13_to_CXCR5,0.0004320621332763293,0.00044113584772805393,0.0004320621332763293,32,1.0,7.798253733824578e-05,1.0210009481342848,Cell-to-cell communication
CCC_Sender_CCL3L1_to_CCR1,0.0004141614902129357,0.00024906451116385843,0.0004141614902129357,32,1.0,4.402880119921921e-05,0.6013705210395229,Cell-to-cell communication
CCC_Receiver_FASLG_to_FAS,0.00035791592122929564,0.00044294032976896486,0.00035791592122929564,32,1.0,7.830152771016015e-05,1.237554139105198,Cell-to-cell communication
CCC_Receiver_HLA-F_to_LILRB2,0.0003574214686961672,0.00026953677543815527,0.0003574214686961672,32,1.0,4.764782042286881e-05,0.7541146770545002,Cell-to-cell communication
CCC_Sender_CD86_to_CTLA4,0.0003039196343394045,0.00019290135675004605,0.0003039196343394045,32,1.0,3.4100464364510734e-05,0.634711729531176,Cell-to-cell communication
CCC_Receiver_VEGFA_to_NRP1,0.00027055770437278947,0.00016265576053503693,0.00027055770437278947,32,1.0,2.8753747818344955e-05,0.6011869479455694,Cell-to-cell communication
CCC_Receiver_TNFSF9_to_TNFRSF9,0.00027007779104135684,0.00028441141716324317,0.00027007779104135684,32,1.0,5.0277310430751315e-05,1.0530722132561112,Cell-to-cell communication
CCC_Sender_CXCL16_to_CXCR6,0.00025130882373528127,0.00028693226007214936,0.00025130882373528127,32,1.0,5.0722936709549715e-05,1.1417516337364755,Cell-to-cell communication
CCC_Receiver_TNFSF12_to_TNFRSF25,0.00023175750386450272,0.0003039173215793757,0.00023175750386450272,32,1.0,5.37254997522073e-05,1.3113591426884772,Cell-to-cell communication
CCC_Sender_ICAM1_to_ITGAL,0.00021961642153116794,0.00022690206777995227,0.00021961642153116794,32,1.0,4.011099769811347e-05,1.0331744147272264,Cell-to-cell communication
